sku_id,date,stock_level,restock_flag,supplier_lead_time,stock_level_capped,is_low_stock,days_until_restock,inventory_health_score
P0859,2024-02-27,25,False,4.0,25,False,0.0,5.0
P0900,2025-05-03,89,False,6.0,89,False,0.0,12.714285714285714
P0671,2023-07-27,72,False,4.0,72,False,0.0,14.4
P0510,2023-09-21,65,False,10.0,65,False,0.0,5.909090909090909
P0438,2024-06-04,0,False,8.0,0,True,0.0,0.0
P0104,2024-05-21,0,False,9.0,0,True,0.0,0.0
P0769,2025-06-12,47,False,1.0,47,False,0.0,23.5
P1073,2024-11-24,117,False,12.0,117,False,0.0,9.0
P0782,2024-11-14,23,False,8.0,23,False,0.0,2.5555555555555554
P1274,2024-04-02,65,False,1.0,65,False,0.0,32.5
P1231,2025-04-22,0,False,10.0,0,True,0.0,0.0
P0632,2025-05-02,55,True,9.0,55,False,9.0,5.5
P1081,2025-02-22,28,False,4.0,28,False,0.0,5.6
P0550,2023-11-09,30,False,12.0,30,False,0.0,2.3076923076923075
P0647,2024-03-04,52,False,3.0,52,False,0.0,13.0
P0937,2023-09-10,29,True,8.0,29,False,8.0,3.2222222222222223
P0184,2023-08-18,35,False,6.0,35,False,0.0,5.0
P0298,2024-12-20,63,False,11.0,63,False,0.0,5.25
P1118,2023-10-13,26,False,10.0,26,False,0.0,2.3636363636363638
P1119,2024-01-15,17,False,13.0,17,False,0.0,1.2142857142857142
P1480,2024-08-05,23,True,9.0,23,False,9.0,2.3
P0696,2024-12-19,44,False,7.0,44,False,0.0,5.5
P0492,2023-09-10,83,False,12.0,83,False,0.0,6.384615384615385
P0623,2024-07-09,62,False,8.0,62,False,0.0,6.888888888888889
P1188,2024-03-15,38,False,10.0,38,False,0.0,3.4545454545454546
P0248,2023-08-05,32,False,14.0,32,False,0.0,2.1333333333333333
P0463,2023-11-04,50,False,8.0,50,False,0.0,5.555555555555555
P1415,2023-07-16,80,False,9.0,80,False,0.0,8.0
P1064,2023-09-24,45,False,2.0,45,False,0.0,15.0
P0945,2024-10-01,37,True,3.0,37,False,3.0,9.25
P0636,2025-05-30,97,False,14.0,97,False,0.0,6.466666666666667
P1239,2023-07-22,26,False,10.0,26,False,0.0,2.3636363636363638
P0264,2024-10-23,82,False,6.0,82,False,0.0,11.714285714285714
P0067,2024-12-27,52,False,11.0,52,False,0.0,4.333333333333333
P0260,2024-08-30,44,False,9.0,44,False,0.0,4.4
P0396,2025-01-01,0,False,9.0,0,True,0.0,0.0
P0833,2024-03-19,46,True,9.0,46,False,9.0,4.6
P1010,2025-01-02,77,False,4.0,77,False,0.0,15.4
P0499,2024-10-01,43,False,14.0,43,False,0.0,2.8666666666666667
P1027,2024-01-24,25,False,6.0,25,False,0.0,3.5714285714285716
P0520,2024-01-23,25,False,11.0,25,False,0.0,2.0833333333333335
P0489,2024-07-17,55,False,8.0,55,False,0.0,6.111111111111111
P0956,2025-04-12,50,False,11.0,50,False,0.0,4.166666666666667
P0059,2024-09-26,6,False,11.0,6,True,0.0,0.5
P0311,2024-06-02,69,True,4.0,69,False,4.0,13.8
INVALID_SKU,2024-06-24,70,False,12.0,70,False,0.0,5.384615384615385
P0449,2025-05-13,56,False,2.0,56,False,0.0,18.666666666666668
P0994,2024-09-20,20,False,11.0,20,False,0.0,1.6666666666666667
P1419,2024-12-02,10,False,13.0,10,True,0.0,0.7142857142857143
P0199,2024-09-27,0,True,12.0,0,True,12.0,0.0
P0659,2024-06-09,30,False,5.0,30,False,0.0,5.0
P0237,2024-02-16,51,True,9.0,51,False,9.0,5.1
P0287,2024-09-04,0,False,4.0,0,True,0.0,0.0
P0662,2024-06-19,49,False,9.0,49,False,0.0,4.9
P0216,2025-01-13,32,False,5.0,32,False,0.0,5.333333333333333
P0406,2025-01-21,42,False,8.0,42,False,0.0,4.666666666666667
P1102,2023-12-11,4,False,9.0,4,True,0.0,0.4
