return_id,user_id,sku_id,return_date,return_reason,product_condition,refund_amount
R00001,U2402,P0654,2024-07-16,Missing parts,Used,1925.59
R00002,U4300,P0268,2024-10-18,Wrong product,Used,2386.87
R00003,U3013,P0037,2025-03-03,Poor quality,Opened,1773.01
R00004,U2035,P0603,2025-06-23,Unknown,Opened,1484.13
R00005,U4557,P0981,2024-08-27,Poor quality,New,159.07
R00007,U3493,P1439,2024-07-16,Poor quality,New,1216.36
R00008,U2891,P1315,2024-08-09,Wrong product,New,2375.86
R00009,U3187,P0774,2025-01-01,Poor quality,New,1161.04
R00010,U1497,P0819,2025-03-30,Damaged item,Opened,2151.17
R00011,U4662,P0732,2024-09-20,No longer needed,Used,1699.99
R00012,U4872,P0304,2025-05-30,Wrong product,Defective,361.73
R00013,U2572,P0897,2024-08-28,Wrong product,New,1660.92
R00014,U1985,P1225,2024-12-21,Missing parts,Defective,2195.96
R00015,U3491,P0111,2025-03-10,Missing parts,Defective,1351.76
R00016,U2604,P0616,2024-12-29,Missing parts,Used,1051.33
R00017,U5430,P0301,2024-12-02,Missing parts,Used,363.14
R00018,U1006,P0237,2025-06-30,Wrong product,Defective,792.46
R00019,U2490,P1156,2024-11-13,Damaged item,Used,453.24
R00020,U1936,P1474,2025-01-01,Damaged item,Defective,2172.82
R00021,U3151,P0558,2025-04-11,Better price elsewhere,New,818.23
R00022,U2321,P0411,2024-12-20,Better price elsewhere,Opened,1306.98
R00023,U2971,P1287,2025-02-09,Poor quality,Used,1422.23
R00024,U4232,P0259,2025-05-28,No longer needed,Opened,359.33
R00025,U2989,P0369,2024-09-20,No longer needed,Defective,819.55
R00026,U3664,P1393,2024-12-16,Damaged item,Used,1374.33
R00027,U2709,P1358,2024-11-02,Poor quality,New,2151.59
R00028,U1904,P0306,2025-02-23,Damaged item,New,1612.19
R00029,U3069,P0251,2025-01-20,Poor quality,Opened,2104.22
R00030,U5251,P0278,2024-11-23,Damaged item,Defective,1292.83
R00031,U4576,P1187,2024-12-14,Better price elsewhere,Used,1952.91
R00032,U2100,P0058,2025-01-11,Wrong product,Used,1265.36
R00033,U5110,P0991,2024-09-15,Poor quality,Defective,990.75
R00034,U5542,P0508,2025-02-24,Better price elsewhere,Used,1991.29
R00035,U3953,P1349,2025-05-14,Missing parts,Defective,1722.69
R00036,U4693,P0706,2024-11-25,Missing parts,Defective,189.49
R00037,U5599,P0296,2024-11-22,Better price elsewhere,Used,1678.14
R00038,U1819,P1068,2025-06-02,Damaged item,Used,1626.79
R00039,U5398,P1214,2025-01-16,Better price elsewhere,New,1034.38
R00040,U5260,P0625,2025-06-10,Damaged item,New,275.28
R00041,U2216,P0645,2024-08-11,Wrong product,Defective,733.75
R00042,U4931,P1088,2024-11-18,Damaged item,New,571.35
R00043,U3967,P0895,2024-09-19,Missing parts,New,1157.84
R00044,U2297,P1336,2024-10-21,Wrong product,New,2052.56
R00045,U5216,P0376,2024-08-22,Damaged item,Used,1757.79
R00046,U2710,P0537,2025-01-15,Missing parts,Used,2070.02
R00047,U2211,P0450,2025-01-08,No longer needed,Used,1308.32
