sku_id,week_start,weekly_order_qty,weekly_revenue
P0001,2023-09-25,3,2437.8075
P0001,2024-02-12,2,1670.244
P0001,2024-02-19,3,1540.2825
P0001,2024-03-04,3,2905.959
P0001,2024-03-18,1,626.1780000000001
P0001,2024-06-03,4,5910.712500000001
P0001,2024-10-28,3,2954.5950000000003
P0001,2024-11-18,3,4235.9400000000005
P0001,2025-03-10,7,7963.0425
P0001,2025-03-17,3,3366.282
P0001,2025-03-31,1,622.2719999999999
P0001,2025-04-21,2,2841.278
P0002,2023-08-14,1,950.72
P0002,2023-10-02,2,3133.474
P0002,2023-10-16,3,4778.22
P0002,2023-12-11,1,1403.4265
P0002,2023-12-18,3,2790.739
P0002,2024-02-12,3,2576.94
P0002,2024-05-13,1,745.885
P0002,2024-05-20,1,1771.128
P0002,2024-06-03,3,2925.15
P0002,2024-06-17,6,4259.75
P0002,2024-06-24,1,492.9065
P0002,2024-07-01,5,7490.2
P0002,2024-09-30,3,582.966
P0002,2024-12-30,1,749.7975
P0002,2025-01-13,2,3196.026
P0002,2025-02-03,3,2709.974
P0002,2025-02-10,3,4573.728
P0002,2025-03-03,1,1229.94
P0002,2025-04-07,1,1423.26
P0002,2025-04-14,1,1722.36
P0002,2025-04-21,1,1206.569
P0002,2025-05-12,2,1600.98
P0002,2025-06-30,4,4243.83
P0003,2023-07-24,7,1798.545
P0003,2023-11-06,2,421.344
P0003,2024-01-22,1,281.456
P0003,2024-02-12,3,2991.083
P0003,2024-04-29,4,3694.89
P0003,2024-05-06,2,4028.46
P0003,2024-05-20,2,1650.6150000000002
P0003,2024-08-19,2,1887.085
P0003,2024-09-23,7,8499.421710000008
P0003,2024-11-04,3,1771.0425
P0003,2024-12-16,1,1363.519
P0003,2024-12-23,2,629.146
P0003,2025-01-06,2,4463.56
P0003,2025-02-03,3,5169.312
P0003,2025-02-10,6,8499.421710000008
P0003,2025-02-24,4,4050.784
P0004,2023-07-24,3,4416.984
P0004,2023-10-16,2,1631.178
P0004,2023-10-23,3,1460.8185
P0004,2023-11-27,1,798.854
P0004,2024-01-22,4,2769.924
P0004,2024-02-05,1,760.1775
P0004,2024-04-01,1,990.768
P0004,2024-04-08,2,3391.578
P0004,2024-04-22,2,1107.5625
P0004,2024-05-06,2,2606.508
P0004,2024-05-13,2,2448.782
P0004,2024-09-16,1,1164.1855
P0004,2025-02-17,2,627.361
P0004,2025-02-24,3,3928.7595
P0004,2025-03-10,1,1089.389
P0004,2025-04-14,4,1445.292
P0004,2025-04-28,1,1029.84
P0004,2025-05-05,1,1155.1415
P0005,2023-09-18,4,4540.031999999999
P0005,2023-11-13,3,1704.086
P0005,2023-12-18,1,193.802
P0005,2024-01-29,2,855.3999999999999
P0005,2024-02-05,1,333.13700000000006
P0005,2024-02-12,1,138.34199999999998
P0005,2024-03-18,2,3169.01
