sku_id,date,competitor_id,competitor_price
P0851,2024-12-11,C003,1843.81
P0953,2024-10-05,C002,1076.1
P0251,2025-04-22,C006,2248.44
P0901,2025-05-17,C007,1990.13
P1405,2025-01-26,C005,1721.84
P0776,2024-08-02,C002,2145.48
P1287,2024-12-29,C003,956.41
P1037,2025-03-03,C001,1254.12
P1447,2025-01-10,C003,2426.01
P0157,2025-06-06,C002,2284.03
P0323,2024-12-22,C004,2470.58
P1229,2025-02-04,C005,1203.15
P1233,2025-07-01,C001,556.0
P0820,2025-01-18,C001,2262.47
P0966,2024-08-30,C007,581.27
P0834,2025-04-01,C006,2477.86
P1124,2024-08-08,C008,920.15
P1392,2024-08-19,C006,2288.7
P0369,2025-06-09,C005,1113.17
P0737,2025-05-06,C007,1637.52
P1336,2025-02-12,C001,581.79
P0465,2025-02-16,C008,2068.18
P0218,2025-03-29,C005,1286.94
P1440,2025-02-04,C009,1452.31
P0144,2025-03-14,C008,995.5
P1134,2024-10-23,C003,778.55
P0475,2025-07-03,C004,698.76
P0847,2025-02-16,C007,304.23
P0494,2024-07-31,C005,536.13
P1231,2025-06-24,C007,1535.94
P0896,2025-05-22,C007,2267.35
P0585,2024-11-07,C003,401.74
P0047,,C007,477.62
P1460,2025-04-15,C006,654.76
P0893,2024-09-04,C003,1793.61
P1147,2024-10-14,C005,2374.55
P0937,2025-02-21,C007,1680.67
P1387,2024-12-05,C005,1048.29
P0053,2025-03-16,C006,
P0602,2025-02-23,C008,2243.35
P1036,2025-04-17,C005,1663.65
P0190,2024-09-14,C009,1020.8
P1142,2024-08-08,C002,1943.5
P0245,2025-06-08,C006,2305.9
P0212,2025-06-20,C002,2238.88
P0676,2024-08-20,C004,680.66
P1248,2024-12-23,C001,1777.54
P0250,2024-10-07,C002,787.87
P1182,2025-02-04,C008,2204.78
P0297,2025-07-03,C006,869.88
P1405,2024-08-31,C008,1305.16
P0964,2025-06-14,C008,1485.25
P0976,2025-03-17,C003,1203.87
P0629,2024-11-29,C006,1221.61
P1170,2025-01-25,C008,503.18
P0065,2024-08-24,C001,1877.56
P0419,2024-08-04,C002,1459.9
P1277,2024-10-05,C007,2275.44
P1372,2025-01-08,C010,1688.73
P0439,2025-06-17,C002,937.97
P1220,2025-01-11,C001,1560.31
P0708,2025-05-06,C005,1286.32
P0154,2024-09-24,C003,619.82
P0484,2024-12-16,C010,978.15
P0307,2024-12-06,C008,1405.99
P0432,2024-07-16,C010,1802.08
P0113,2025-01-24,C001,1846.68
P0386,2024-11-03,C002,876.32
P0889,2024-12-13,C005,748.71
BROKEN_SKU,2025-04-30,C006,660.75
P0009,2024-12-11,C006,2467.19
P0026,2025-01-31,C006,842.0
P0853,2025-03-19,C007,951.22
P0312,2024-08-05,C001,1717.06
P0803,2024-07-11,C008,623.38
P1200,2025-03-27,C010,691.51
P1234,2024-11-12,C004,2183.79
P0284,2024-09-02,C009,677.71
P0390,2025-06-17,C006,2433.35
P0855,2025-02-02,C007,1108.54
P0280,2024-09-30,C006,2071.27
P0685,2025-04-02,C001,1840.09
P0610,2024-10-21,C004,1035.27
P0560,2025-05-02,C006,805.13
P0458,2024-07-08,C007,1061.2
P0446,2025-01-02,C007,305.22
P0514,2025-04-04,C007,1108.13
P0472,2024-07-17,C010,2114.68
P0418,2024-08-15,C009,678.94
P0208,2024-09-18,C002,328.69
P0811,2024-12-19,C010,571.18
P0721,2024-09-27,C009,420.2
P0310,2024-09-26,C005,908.3
P1368,2025-07-06,C008,987.7
P0568,2025-03-01,C005,1464.69
P1362,2025-05-26,C009,1131.79
P1046,2025-05-30,C003,830.99
P0788,2025-05-04,C009,771.44
P0667,2024-08-30,C008,903.6
P0075,2024-07-20,C007,2403.19
P0985,2025-03-08,C004,1063.13
P0407,2024-12-30,C010,708.32
P1297,2025-02-03,C006,
P0897,2024-10-13,C002,843.31
P1253,2024-09-04,C010,982.53
P0170,2025-06-27,C007,1305.46
P0456,2025-06-01,C005,1087.4
P0503,2025-06-28,C001,513.69
P1058,2025-01-12,C003,1693.1
P0857,2025-01-17,C001,1634.54
P0958,2025-06-10,C004,1660.27
P0089,2025-01-04,C008,2280.5
P0930,2024-11-29,C001,1992.81
P0345,2024-12-25,C010,884.38
P1378,2025-02-25,C002,1664.53
P0984,2024-10-27,C010,799.87
P0715,2024-07-21,C003,506.56
P1340,2025-05-03,C008,2369.89
P0542,2024-10-19,C002,708.7
P1006,2025-04-14,C004,1095.12
P1011,2024-10-03,C007,1132.33
P1424,2025-05-17,C007,581.37
P0782,2025-06-02,C008,1617.17
P0403,2024-11-03,C008,1680.34
P0880,2025-02-16,C010,507.27
P0240,2025-03-16,C008,2084.16
P1289,2025-02-09,C002,1812.86
P0684,2025-02-12,C008,364.3
P1174,2025-03-13,C010,1922.29
P0856,2025-01-24,C004,1515.15
P0708,2024-08-15,C006,2221.59
P1347,2025-01-04,C009,880.72
P1294,2024-10-20,C010,1297.0
P0935,2025-07-03,C003,1596.59
P0537,2024-09-13,C007,2103.94
P0681,2024-12-02,C005,1119.1
P1019,2024-11-20,C004,1678.12
BROKEN_SKU,2024-09-12,C005,802.85
P0383,2025-05-16,C010,925.22
P0815,2025-07-05,C010,1674.38
P0495,2025-06-04,C009,1691.73
P0700,2025-02-14,C005,1957.94
P0136,2024-07-10,C009,2443.47
P0446,2025-03-27,C001,599.33
P1091,2024-07-19,C006,765.69
P0651,2024-08-09,C010,388.42
P0163,2025-03-01,C007,1713.46
P0872,2024-08-08,C006,1875.36
P0838,2024-08-04,C002,456.38
P0901,2025-05-08,C009,2391.12
P0157,2025-01-20,C003,980.38
P0105,2025-05-23,C003,1709.98
P0333,2024-08-20,C005,651.41
P0611,2025-01-11,C008,1172.28
P0199,2025-06-28,C002,1685.52
P0873,2024-10-29,C002,1917.78
P0309,2024-07-11,C002,1481.68
P1215,2024-08-22,C004,946.09
P0383,2025-01-27,C004,723.09
P0782,2024-08-26,C009,1686.65
P0194,2025-06-16,C009,1206.59
P0044,2025-03-31,C003,1432.6
P1163,2025-01-27,C004,762.05
P1277,2025-01-25,C001,2449.41
P1214,2025-05-09,C001,1707.46
P1067,2025-06-08,C002,2469.83
P0521,2025-02-03,C008,410.64
P0386,2025-05-08,C003,1640.83
P0398,2024-08-21,C006,1658.96
P1466,2024-08-05,C001,1205.68
P0430,2025-04-22,C007,2279.65
P0789,2025-06-06,C005,787.32
P0982,2024-09-28,C008,654.24
P0122,2024-09-03,C005,2429.69
P0869,2024-08-17,C008,1156.22
P0419,2024-12-22,C003,646.31
P0323,2025-06-26,C003,1058.58
P0826,2025-03-11,C006,1762.78
P1239,2025-03-06,C002,1092.26
P1339,2025-04-30,C009,706.07
P0475,2025-06-03,C004,1315.54
P0574,2025-05-03,C001,2188.62
P0772,2024-09-07,C004,891.95
P1328,2024-08-21,C010,1497.65
P0198,2024-11-22,C002,2157.62
P0782,2024-11-09,C007,2208.66
P1203,2024-12-17,C001,1201.3
P0990,2025-07-05,C009,1322.77
P0560,2025-01-11,C001,918.0
P0237,2025-01-23,C010,1901.82
P1071,2025-05-20,C010,1404.06
P1017,2025-02-19,C006,2295.0
P0436,2025-04-01,C010,1725.19
P0416,2025-05-21,C005,836.49
P0112,2024-09-10,C001,1968.64
P0895,2024-11-10,C002,1425.16
P1214,2025-04-02,C006,513.09
P0560,2025-06-19,C001,1052.16
P0241,2025-02-06,C003,1772.79
P0017,2024-08-22,C007,1515.54
P0353,2025-04-07,C008,2083.81
P1277,2024-11-11,C006,1915.92
P0374,2024-12-10,C005,2431.29
P1079,2025-07-03,C008,822.71
P0753,2024-11-04,C006,1076.19
P0866,2024-08-19,C007,1473.78
P0080,2024-12-20,C008,890.76
P1060,2024-12-30,C004,2276.66
P0307,2025-02-08,C010,2310.7
P1101,2025-01-13,C007,550.02
P1233,2025-06-03,C002,2003.38
P1317,2024-10-20,C003,1652.6
P1111,2024-11-08,C003,910.59
P0465,2025-04-12,C008,1779.58
P0724,2025-04-16,C004,1247.06
P0594,2025-02-24,C002,1871.6
P0426,2025-04-17,C006,358.67
P0707,2025-04-19,C004,504.62
P0440,2024-09-14,C005,1971.85
P0276,2025-06-03,C006,1137.61
P0908,2024-09-30,C007,767.24
P0912,2024-07-27,C007,541.33
P1245,2025-06-18,C008,1225.06
P1168,2025-01-11,C007,1213.06
P0452,2025-04-04,C004,475.07
P0049,2024-10-15,C006,2112.01
P0713,2024-10-22,C007,2086.98
P1311,2025-03-12,C001,1297.78
P0055,2025-04-07,C008,1888.5
P0418,2024-10-15,C008,2308.74
P1293,2024-07-16,C008,1580.5
P1033,2024-08-15,C010,1713.65
P0063,2024-08-08,C005,2234.24
P0706,2024-12-09,C009,1943.73
P0686,2024-08-02,C010,1753.9
P0019,2024-10-24,C001,1175.81
P0702,2025-02-06,C002,422.45
P1341,2025-01-22,C001,1357.08
P0726,2025-04-09,C002,2129.08
P0032,2025-03-19,C006,1686.42
P0692,2024-08-29,C010,1415.3
P0042,2024-08-07,C009,884.55
BROKEN_SKU,2024-11-15,C010,353.89
P1154,2024-09-13,C006,636.43
P0615,2025-07-02,C009,667.77
P0285,2025-06-10,C007,1586.73
P1322,2025-07-01,C005,1381.33
P1364,2025-06-13,C001,1701.48
P0742,2025-02-03,C007,1345.33
P0973,2024-11-20,C002,1105.32
P0563,2024-07-08,C009,444.82
P1190,2024-08-03,C006,2164.47
P0241,2025-05-03,C002,1402.39
P1468,2025-03-02,C009,619.08
P0193,2024-10-18,C003,927.46
P0678,2024-07-12,C002,436.62
P0891,2024-12-04,C005,913.07
P0239,2024-10-25,C003,
P0990,2025-02-15,C005,2306.99
P0398,2024-09-06,C007,2471.47
P0904,2025-02-18,C003,512.15
P1230,2025-05-03,C007,334.93
P1352,2024-09-16,C007,2075.97
P0811,2025-06-18,C010,1331.2
P0422,2024-09-06,C008,1499.33
P1400,2024-09-29,C006,1953.17
P0106,2025-03-29,C002,881.42
P1018,2024-11-15,C001,1776.79
P0982,2025-01-03,C005,1852.4
P0254,2024-12-08,C010,1379.51
P1493,2024-11-10,C001,1260.14
P0546,2025-06-29,C008,947.97
P0001,2025-01-16,C007,704.91
P0767,2025-06-08,C006,
P0322,2025-03-27,C006,508.04
P0501,2025-01-05,C009,2043.28
P0855,2025-02-03,C008,546.72
P1347,2024-12-13,C001,1743.43
P1182,2025-03-28,C010,622.34
P0192,2025-04-22,C006,346.4
P1401,2025-02-16,C008,2186.63
P0802,2025-07-03,,2340.22
P1226,2025-06-13,C007,425.12
P0138,2024-11-30,C001,2281.21
P0276,2025-06-12,C003,1005.99
P0875,2024-10-28,C004,1403.19
P0591,2024-11-17,C001,1698.86
P0851,2025-03-12,C008,1453.05
P0471,2025-07-05,C007,1997.37
P0178,2024-10-24,C008,1150.11
P0410,2024-12-22,C005,937.48
P1189,2024-11-08,C004,2111.19
P0610,2024-07-10,C003,2357.32
P0239,2025-04-16,C003,1848.97
P0509,2024-07-27,C003,803.06
P0078,2025-05-18,C003,1164.31
P0902,2025-02-19,C002,1649.99
P1034,2024-11-01,C002,1701.31
P0633,2025-01-09,C004,1153.7
P0271,2024-09-28,C004,1951.06
P1236,2024-10-08,C006,1514.6
P1393,2024-10-18,C003,1912.4
P0772,2025-05-21,C005,1484.02
P0496,2024-09-12,C007,469.95
BROKEN_SKU,2024-12-15,C007,522.23
P0635,2025-01-28,C002,870.17
P0298,2024-08-04,C002,1878.64
P0414,2024-10-09,C009,1675.82
P1459,2025-03-12,C005,1145.82
P0568,2025-05-23,C003,949.1
P0180,2024-09-13,C002,452.8
P0962,2024-12-19,C002,1639.76
P0932,2024-08-29,C001,1905.98
P0633,2025-04-15,C001,1825.33
P0961,2024-08-17,C003,2337.78
P0857,2025-01-25,C004,1384.64
P1267,2025-06-15,C002,1439.07
P0882,2025-02-25,C003,2096.92
P0634,2024-10-13,C009,456.86
P1110,2024-10-15,C002,2140.86
P0970,2025-01-13,C005,1374.59
P0050,2024-09-17,C001,2295.51
P0075,2024-09-10,C004,2132.19
P0275,2025-06-30,C002,2278.97
P0322,2024-11-15,C001,717.77
P1246,2024-08-08,C007,2043.91
P0085,2025-02-24,C003,1877.18
P1245,2025-04-28,C003,1868.7
P1448,2024-08-23,C009,1810.45
P0491,2024-09-22,C005,974.69
P1182,2025-03-01,C003,882.71
P0200,2025-02-20,C003,2120.62
P0831,2024-12-18,C006,681.45
P0211,2024-12-18,C010,1515.34
P1489,2024-10-09,C002,555.36
P0829,2025-04-22,C009,1167.66
P1149,2024-11-19,C004,1003.61
P0090,2024-10-31,C005,1451.77
P0850,2025-03-25,C009,1064.1
P0097,2025-03-10,C008,1441.82
P0584,2025-06-29,C001,928.45
P0226,2025-06-05,C002,1304.69
P0904,2024-08-19,C005,1246.7
P0199,2025-01-03,C001,895.91
P1343,2024-10-07,C002,1485.9
P1478,2024-10-05,C004,2456.18
P0922,2024-11-09,C003,2304.04
P0681,2025-01-06,C005,2310.9
P0267,2024-11-09,C004,2023.41
P0093,2025-05-12,C004,1729.5
P0403,2024-08-06,C010,1580.65
P0073,2025-01-31,C008,2108.86
P0529,2024-11-28,C009,1367.12
P0070,2024-09-27,C008,2477.4
P0792,2024-12-24,C007,929.97
P0118,2025-02-27,C002,1947.92
P0261,2024-09-15,C005,1115.48
P0865,2025-05-08,C003,2354.12
P0763,2025-03-08,C003,1844.94
P0438,2024-11-23,C007,2163.82
P1055,2025-04-16,C001,2236.53
P1315,2025-01-23,C004,1724.7
P0564,2024-09-19,C005,1728.29
P0349,2025-05-21,C009,954.41
P0441,2025-04-25,C008,1843.45
P0614,2024-07-13,C003,301.12
P0662,2025-04-06,C002,2239.57
P1110,2025-02-13,C002,1446.66
P1030,2024-08-03,C005,2046.15
P0964,2025-01-17,C005,1860.95
P0015,2024-10-11,C007,1650.47
P1214,2025-02-10,C006,1905.97
P0999,2025-03-11,C004,1067.96
P0602,2025-04-17,C010,899.45
P1416,2025-01-28,C006,1836.65
P0756,2024-07-22,C009,708.94
P0743,2024-09-17,C002,494.86
P0574,2025-03-21,C009,1981.81
P0398,2024-11-02,C009,1554.26
P1078,2024-12-17,C009,2270.35
P1203,2024-08-01,C009,1825.08
P0605,2025-03-29,C008,2277.37
P0413,2025-06-02,C009,780.39
P1261,2025-02-04,C007,831.22
P0695,2025-03-06,C010,1192.86
P0614,2024-08-28,C003,320.33
P0998,2025-01-01,C003,1907.3
P1230,2025-02-21,C006,1593.96
P0514,2025-02-15,C006,2395.14
P0107,2024-10-28,C003,2342.17
P0653,2025-06-29,C001,464.98
P1445,2025-06-21,C009,1426.76
P0630,2025-02-27,C008,556.06
P0777,2025-06-01,C005,572.66
P1002,2024-12-16,C010,2342.69
P0409,2024-10-06,,1098.99
P0912,2025-01-20,C005,1933.92
P0974,2024-10-09,C010,2460.28
P0102,2025-04-22,C006,2299.89
P1096,2025-06-03,C005,870.8
P0377,2025-01-12,C005,1362.65
P0909,2024-12-20,C003,1776.09
P0794,2025-04-01,C010,930.42
P0872,2025-06-23,C002,2138.82
P0415,2025-05-06,C009,611.41
P0427,2025-05-12,C004,2038.61
P1427,2024-12-13,C004,1695.4
P0159,2025-01-14,C004,364.39
P0732,2024-07-13,C009,566.53
P1284,2024-10-06,C006,2198.08
P0923,2025-05-07,C007,408.87
P1309,2025-01-28,C002,2391.67
P1025,2025-03-30,C009,772.57
P1030,2024-11-26,C007,2326.54
P0165,2025-05-28,C008,1756.5
P0086,2024-12-14,C010,1404.06
P0285,2024-12-25,C006,651.22
P0782,2025-05-02,C003,1398.48
P1227,2024-10-04,C005,343.22
P0950,2024-11-16,C003,1381.97
P1398,2025-06-14,C004,914.18
P1010,2025-02-19,C008,
P1444,2025-06-05,C001,967.65
P1443,2025-03-24,C006,1065.46
P0526,2024-09-25,,2092.86
P1430,2024-11-03,C006,1571.29
P0430,2025-04-21,C007,1232.02
P0834,2025-03-23,C007,2376.53
P0844,2024-09-20,C010,860.66
P0858,2024-07-21,C007,1093.25
P0275,2025-03-05,C007,1353.11
P1300,2025-05-17,C009,1452.4
P0513,2024-09-03,C001,1804.82
P1154,2025-05-21,C010,315.87
P0520,2024-07-25,C001,1932.42
P0151,2025-02-18,C008,2373.38
P0082,2024-08-07,C001,970.74
P0794,2025-07-05,C002,1242.49
P1127,2025-03-09,C006,1020.9
P0133,2025-05-19,C004,588.62
P1159,2024-12-07,C005,1086.7
P0202,2025-03-24,C002,2272.74
P0089,2025-01-18,C003,1646.86
P0345,2025-05-26,C005,1437.27
P0478,2025-01-12,C010,464.64
P0796,2025-04-15,C010,1091.3
P1250,2025-05-18,C004,1501.7
P0971,2024-08-11,C010,392.91
P0966,2025-05-27,C009,627.44
P0663,2024-09-18,C005,1413.32
P0723,2025-07-02,C004,1768.68
P0093,2025-01-02,C002,1575.89
P0809,2024-09-18,C002,1369.03
P0236,2024-07-15,C010,1796.96
P0454,2025-05-23,C004,622.68
P1460,2025-05-19,C005,1615.43
P1391,2024-08-19,C001,2242.72
P0954,2025-06-16,C002,895.04
P1346,2025-03-20,C008,1963.94
P0889,2025-02-02,C009,598.67
P1229,2024-11-11,C006,716.92
P1000,2024-12-23,C005,660.19
P1143,2025-03-24,C003,1288.8
P0996,2025-05-16,C003,742.19
P0448,2024-12-22,C010,1947.89
P0902,2024-12-27,C002,1220.33
P0179,2025-02-14,C005,2476.24
P0701,2025-04-25,C001,522.13
P1463,2025-01-02,C009,2148.39
P1387,2024-07-19,C005,703.19
P0693,2024-12-14,C003,1943.34
P1067,2024-10-13,C009,559.02
P1071,2024-07-11,C007,2118.64
P0401,2024-08-17,C003,2183.6
P0432,2025-03-11,C006,565.28
P1373,2025-01-02,C003,1976.2
P0136,2025-03-29,C006,734.86
P0713,2025-05-10,C002,650.38
P0676,2024-10-05,C008,1743.33
P1097,2024-08-13,C010,
P0606,2024-12-18,C003,565.44
P1286,2024-10-19,C009,841.54
P1221,2025-06-07,C002,2104.29
P0278,2024-10-23,C003,698.28
P0243,2024-11-13,C005,516.8
P0721,2025-05-29,C010,673.02
P1242,2025-02-18,C010,2348.84
P0110,2024-09-06,C009,1733.96
P1057,2025-04-21,C006,760.1
P1295,2025-06-20,C007,2239.6
P0351,2025-04-08,C003,1261.55
P0001,2025-01-07,C005,672.44
P0107,2024-07-13,C009,2216.94
P1068,2024-12-28,C004,1192.04
P0726,2024-12-24,C009,1400.63
P0735,2025-01-26,C010,333.76
P0588,2024-10-17,C001,
P0669,2025-01-06,C005,607.27
P0866,2025-04-17,C005,
P1296,2025-04-10,C004,
P0339,2024-10-08,C009,583.53
P0839,2024-08-04,C001,1697.75
P0765,2024-09-17,C007,2344.19
P0707,2024-07-12,C003,816.76
P1254,2024-08-26,C009,2139.77
P0271,2025-04-06,C001,722.97
P0344,2025-03-21,C001,2287.76
P0514,2025-05-24,C008,1478.1
P0534,2025-03-10,C006,2012.01
P0773,2025-02-23,C002,514.62
P0243,2024-12-09,C001,608.24
P0007,2024-12-29,C005,1265.95
P0618,2024-08-31,C003,1429.14
P0411,2025-01-29,C001,954.19
P1294,2025-02-01,C007,1118.99
P0887,2025-06-11,C006,1785.91
P1440,2024-12-29,C009,
P0636,2024-12-09,C005,1860.58
P1146,2024-09-12,C005,767.97
P1392,2024-08-19,C007,900.58
P1343,2025-04-28,C006,1153.01
P0263,2024-12-13,C006,432.21
P1287,2024-12-22,C005,2441.88
P1207,2024-08-16,C008,1871.06
P0231,2025-03-30,C007,351.41
P0798,2025-04-01,C005,620.13
P1482,2025-06-19,C004,426.23
P0372,2024-12-17,C005,354.4
P0320,2025-03-28,C007,
P0004,2024-07-22,C002,1093.79
P0286,2024-07-15,C003,378.53
P0859,2025-01-09,C009,1351.0
P1259,2024-10-13,C006,500.42
P0098,2025-01-31,C008,1815.0
P0832,2024-08-24,C009,1110.06
P0776,2025-04-03,C003,548.4
P0526,2025-02-18,,1987.27
P0090,2025-01-07,C001,500.34
P1061,2025-02-13,C001,598.66
P1301,2025-05-12,C002,1794.29
P0588,2024-10-05,C002,930.54
P0897,2024-10-27,C008,1983.54
P1077,2024-08-30,C003,2227.94
P0371,2024-08-25,C008,1773.82
P0537,2025-04-28,C006,1544.77
P0780,2025-03-25,,942.14
P1480,2024-09-07,C008,1144.54
P1476,2025-03-14,C007,1381.86
P0448,2024-09-02,C004,1961.28
P0169,2025-07-03,C001,1895.22
P1187,2025-05-30,C005,1483.03
P0163,2024-08-31,C008,497.18
P0956,2024-10-02,C007,1171.6
P0514,2025-04-15,C002,1162.02
P0663,2025-03-24,C009,1022.6
P1029,2024-10-24,C010,715.87
P1380,2025-04-23,C001,1235.65
P0605,2025-05-23,C001,1975.58
P1449,2024-09-14,C004,1205.9
P1132,2024-12-13,C006,1321.31
P0283,2025-02-12,C008,631.81
P0437,2025-04-18,C008,383.34
P0632,2024-09-19,C010,723.7
P0305,2025-05-31,C003,1144.79
P0580,2024-11-04,C002,2226.21
P1234,2025-05-28,C007,518.85
P0970,2024-11-27,C007,777.19
P0792,2024-08-23,C007,1408.26
P0343,2024-08-26,C001,434.1
P0200,2024-09-03,C002,2063.04
P0559,2024-09-11,C004,2048.07
P0005,2025-01-10,,2291.22
P1163,2024-09-27,C005,1579.06
P0841,2025-02-01,C002,1584.27
P1146,2024-11-19,C006,2374.38
P0444,2025-01-03,C003,2405.38
P0893,2025-05-09,C009,2249.63
P0046,2025-03-22,C008,652.81
P0283,2024-09-12,C001,2030.51
P0837,2024-10-28,C005,774.79
P0131,2025-05-01,C005,1126.53
P1098,2024-09-23,C007,1409.8
P0678,2025-03-17,C010,361.57
P1015,2024-08-06,C008,1644.51
P1396,2025-05-25,C009,1528.55
P0012,2024-10-20,C003,1186.47
P1296,2024-08-11,C006,1958.22
P0398,2025-04-14,C007,1449.24
P0612,2024-08-03,C009,504.92
P0901,2025-03-01,C004,2248.23
P0555,2025-02-23,C003,2279.0
P0997,2024-09-03,C010,743.82
P0478,2024-09-06,C002,1621.73
P0846,2024-12-11,C004,1237.44
P1395,2025-07-06,C002,2195.81
P0518,2024-12-04,C003,689.14
P0894,2025-02-11,C010,2459.45
P0820,2025-04-06,C005,1042.39
P0427,2025-02-16,C007,1078.02
P0589,2024-10-29,C006,1561.7
P1181,2024-09-04,C009,1070.05
P1309,2024-07-28,C007,1185.5
P1125,2025-05-15,C004,2094.51
P0290,2024-12-30,C007,608.28
P0576,2024-12-04,C009,2443.88
P1299,2025-05-11,C006,2435.89
P1073,2024-10-23,C008,1538.56
P1199,2024-10-08,C006,2029.32
P0887,2024-11-10,C005,367.16
P1359,2024-12-21,C007,1898.07
P1144,2025-02-17,C008,1127.79
P0296,2024-07-15,C002,538.35
P0206,2024-09-02,C008,1242.77
P0364,2024-08-11,C002,2040.59
P1322,2024-09-17,C006,1475.05
P0259,2025-04-09,C008,811.72
P1149,2025-06-24,C002,434.64
P0385,2025-01-26,C010,2271.42
P0270,2024-09-16,C004,2185.62
P1299,2025-04-13,C001,1371.34
P0376,2025-05-17,C007,2249.68
P0645,2024-09-18,C005,2498.03
P0008,2025-03-11,C005,1807.35
P0679,2024-09-25,C007,1652.04
P1235,2025-02-13,C009,380.32
P0336,2024-09-18,C008,737.51
P1238,2024-12-09,C001,1932.05
P0342,2025-03-26,C005,1291.49
P1284,2025-05-10,C001,1962.3
P1341,2025-06-24,C007,1995.64
P0317,2025-03-18,C008,1617.54
P0669,2025-01-17,C006,2322.12
P1168,2024-09-22,C004,2359.71
P0682,2024-12-05,C002,2365.7
P0947,2025-03-16,C004,1644.11
P0933,2024-12-29,C003,2146.57
P0517,2024-09-06,C006,1304.18
P0295,2025-02-02,C010,323.92
P0896,2025-02-08,C008,1993.96
P0907,2024-12-30,C005,1695.81
P0862,2025-05-25,C007,698.72
P0520,2024-07-20,C005,1757.4
P0905,2025-02-19,C006,1287.61
P0951,2025-01-06,C003,1477.46
P0316,2024-08-09,C009,1528.36
P0951,2024-07-21,C008,1180.32
P1438,2025-02-26,C005,1618.32
P1475,2025-06-17,C006,1158.77
P0706,2025-05-21,C010,1525.93
P0962,2025-04-02,C001,1441.38
P0421,2025-02-11,C004,1031.83
P1001,2024-11-22,C004,939.36
P0818,2025-06-07,C008,394.46
P0490,2025-02-24,C002,2292.77
P0024,2025-03-22,C002,394.32
P0299,2024-08-25,C006,949.03
P1326,2025-03-31,C009,1024.37
P1474,2024-10-05,C004,952.77
P0222,2024-10-13,C005,627.56
P0013,2025-04-11,C008,1051.47
P0093,2025-02-26,C010,1712.4
P0041,2024-08-22,C003,2312.45
P1121,2025-04-25,C006,1742.73
P0948,2024-10-29,C008,502.69
P0046,2025-02-04,C004,506.45
P1305,2024-07-15,C004,838.87
P0488,2025-01-23,C003,1431.18
P0788,2025-02-12,C001,925.98
