sku_id,date,stock_level,restock_flag,supplier_lead_time
P0859,2024-02-27,25,0.0,4.0
P0900,2025-05-03,89,0.0,6.0
P0671,2023-07-27,72,0.0,4.0
P0510,2023-09-21,65,0.0,10.0
P0438,2024-06-04,0,0.0,8.0
P0104,2024-05-21,0,0.0,9.0
P0769,2025-06-12,47,0.0,1.0
P1073,2024-11-24,117,0.0,12.0
P0782,2024-11-14,23,0.0,8.0
P1274,2024-04-02,65,0.0,1.0
P1231,2025-04-22,0,0.0,10.0
P0632,2025-05-02,55,1.0,9.0
P1081,2025-02-22,28,0.0,4.0
P0550,2023-11-09,30,0.0,12.0
P0647,2024-03-04,52,0.0,3.0
P0937,2023-09-10,29,1.0,8.0
P0184,2023-08-18,35,0.0,6.0
P0298,2024-12-20,63,0.0,11.0
P1118,2023-10-13,26,0.0,10.0
P1119,2024-01-15,17,0.0,13.0
P1480,2024-08-05,23,1.0,9.0
P0696,2024-12-19,44,0.0,7.0
P0492,2023-09-10,83,0.0,12.0
P0623,2024-07-09,62,0.0,
P1188,2024-03-15,38,0.0,10.0
P0248,2023-08-05,32,0.0,14.0
P0463,2023-11-04,50,0.0,8.0
P1415,2023-07-16,80,0.0,9.0
P1064,2023-09-24,45,0.0,2.0
P0945,2024-10-01,37,1.0,3.0
P0636,2025-05-30,97,0.0,14.0
P1239,2023-07-22,26,0.0,10.0
P0264,2024-10-23,82,0.0,6.0
P0067,2024-12-27,52,0.0,11.0
P0260,2024-08-30,44,0.0,9.0
P0396,2025-01-01,0,0.0,9.0
P0833,2024-03-19,46,1.0,9.0
P1010,2025-01-02,77,0.0,4.0
P0499,2024-10-01,43,0.0,14.0
P1027,2024-01-24,25,0.0,6.0
P0520,2024-01-23,25,0.0,11.0
P0489,2024-07-17,55,0.0,8.0
P0956,2025-04-12,50,0.0,11.0
P0059,2024-09-26,6,0.0,11.0
P0311,2024-06-02,69,1.0,4.0
INVALID_SKU,2024-06-24,70,0.0,12.0
P0449,2025-05-13,56,0.0,2.0
P0994,2024-09-20,20,0.0,11.0
P1419,2024-12-02,10,0.0,13.0
P0199,2024-09-27,-21,1.0,12.0
P0659,2024-06-09,30,0.0,5.0
P0237,2024-02-16,51,1.0,9.0
P0287,2024-09-04,0,0.0,4.0
P0662,2024-06-19,49,0.0,9.0
P0216,2025-01-13,32,0.0,5.0
P0406,2025-01-21,42,0.0,8.0
P1102,2023-12-11,4,0.0,9.0
P1397,2025-05-09,23,0.0,11.0
P0770,2025-03-11,58,0.0,2.0
P0563,2025-01-22,101,0.0,3.0
P0373,2025-03-21,42,1.0,13.0
P0248,2025-02-07,63,0.0,3.0
P1041,2024-06-09,54,1.0,12.0
P0776,2023-12-27,27,0.0,14.0
P1324,2025-05-12,50,0.0,1.0
P0127,2024-09-22,25,0.0,13.0
P0437,2023-09-12,60,0.0,6.0
P0206,2025-06-30,64,0.0,5.0
P0239,2023-11-19,-36,0.0,2.0
P0728,2024-06-29,52,1.0,2.0
P1347,2025-03-21,79,0.0,8.0
P0442,2024-10-07,39,0.0,14.0
P0231,2023-09-17,81,0.0,12.0
P0939,2024-12-23,16,0.0,5.0
P1177,2023-09-03,70,0.0,2.0
P0522,2025-02-27,28,0.0,2.0
P0841,2024-08-16,48,0.0,4.0
P0274,2024-12-29,76,0.0,10.0
INVALID_SKU,2024-01-11,66,0.0,14.0
P0055,2024-03-25,67,0.0,
P0490,2025-06-27,0,0.0,10.0
P0657,2024-09-13,27,0.0,1.0
P1084,2023-08-02,28,0.0,2.0
P0615,2025-04-06,0,0.0,5.0
P0755,2024-06-15,1,0.0,10.0
P1334,2024-03-09,-35,0.0,6.0
P1385,2024-03-21,47,0.0,8.0
P0861,2025-03-22,78,0.0,10.0
P0773,2024-02-06,63,1.0,10.0
P0625,2025-04-23,57,0.0,
P0175,2025-05-15,92,1.0,13.0
P1001,2024-08-07,24,0.0,9.0
P0639,2025-01-11,54,0.0,9.0
P0730,2024-10-31,82,0.0,9.0
P0386,2025-06-05,4,0.0,8.0
P1381,2023-11-29,53,1.0,12.0
P0343,2024-06-23,17,0.0,10.0
P0085,2024-05-11,65,0.0,13.0
P0024,2024-10-17,13,0.0,14.0
P0587,2025-02-27,70,0.0,2.0
P0808,2024-02-04,79,0.0,8.0
P1269,2025-06-06,40,0.0,4.0
P1380,2024-05-18,55,0.0,3.0
P1068,2024-12-23,55,1.0,9.0
P1252,2025-04-13,76,,9.0
P0435,2024-01-23,25,0.0,14.0
P1375,2023-08-17,26,0.0,3.0
P0027,2024-01-03,26,1.0,2.0
P1470,2024-01-16,64,0.0,7.0
P0295,2024-09-05,66,0.0,8.0
P0220,2024-07-15,108,0.0,4.0
P0528,2025-04-12,0,1.0,4.0
P0524,2025-06-11,34,0.0,10.0
P0983,2025-04-23,68,0.0,11.0
P0527,2025-07-04,79,1.0,12.0
P0099,2025-05-25,30,0.0,6.0
P1399,2023-11-06,1,0.0,10.0
P0798,2024-09-29,103,0.0,8.0
P0652,2024-06-06,48,1.0,3.0
P0181,2024-02-24,70,1.0,9.0
P0180,2024-07-01,51,0.0,9.0
P0751,2024-02-08,149,0.0,
P0634,2023-09-13,23,0.0,10.0
INVALID_SKU,2025-05-05,53,0.0,7.0
P0385,2025-03-17,41,0.0,12.0
P1017,2023-12-09,29,0.0,14.0
P1164,2025-06-05,59,0.0,
P0909,2024-01-02,23,0.0,2.0
P0509,2024-11-21,72,1.0,13.0
P0311,2023-10-26,11,1.0,13.0
P1086,2024-03-17,36,1.0,13.0
P0191,2025-06-03,59,0.0,8.0
P0157,2024-11-04,15,0.0,8.0
P0604,2025-05-07,59,0.0,9.0
INVALID_SKU,2023-08-07,56,0.0,11.0
P1106,2025-07-06,8,0.0,6.0
P1005,2025-03-21,56,0.0,4.0
P1258,2024-12-20,112,0.0,2.0
P0289,2025-03-12,9,1.0,10.0
P0994,2024-09-15,105,1.0,4.0
P0085,2023-11-01,67,0.0,4.0
P0856,2023-12-05,79,0.0,10.0
P0616,2024-12-07,87,1.0,9.0
P1314,2024-06-17,31,0.0,14.0
P0156,2025-02-04,121,0.0,7.0
P0687,2025-05-21,0,1.0,4.0
P1192,2025-01-13,48,0.0,5.0
P0884,2024-02-23,70,0.0,6.0
P1169,2024-12-17,61,0.0,6.0
P0822,2023-12-31,55,0.0,11.0
P1434,2023-09-04,42,0.0,11.0
P0078,2024-08-20,30,0.0,2.0
P1084,2024-02-09,25,0.0,1.0
P1179,2024-03-19,46,0.0,9.0
P0209,2024-05-23,73,0.0,
P0250,2024-11-14,84,1.0,1.0
P0988,2025-06-04,68,0.0,7.0
P0336,2023-09-03,14,0.0,5.0
P0963,2023-09-25,43,0.0,13.0
P0659,2025-04-13,27,0.0,2.0
P0131,2024-01-03,42,1.0,2.0
P0292,2024-11-01,47,0.0,5.0
P1415,2024-05-05,57,0.0,1.0
P1170,2023-11-05,52,0.0,13.0
P0380,2023-12-06,20,0.0,5.0
P0092,2024-08-14,30,1.0,7.0
P0997,2024-10-14,44,,8.0
P1162,2025-03-13,31,0.0,11.0
P0428,2023-11-30,53,0.0,7.0
P0096,2025-04-11,32,0.0,7.0
INVALID_SKU,2025-04-27,92,0.0,3.0
P0849,2024-03-08,32,0.0,13.0
P0877,2024-05-02,18,0.0,3.0
P1301,2025-03-14,62,1.0,4.0
P0671,2023-09-05,73,0.0,2.0
P0436,2024-02-01,36,0.0,9.0
P0872,2024-06-03,65,0.0,13.0
P1010,2024-07-30,9,0.0,6.0
P0012,2025-02-20,45,0.0,13.0
P0701,2024-03-08,47,0.0,10.0
P0517,2024-06-20,47,0.0,4.0
P0181,2024-01-05,0,0.0,13.0
P0042,2025-02-28,74,0.0,5.0
P0277,2024-04-22,0,0.0,1.0
P0666,2024-10-04,69,0.0,6.0
P0895,2024-12-04,9,1.0,3.0
P0945,2024-01-29,21,1.0,7.0
P1341,2025-01-18,76,0.0,4.0
P1281,2024-08-22,59,0.0,13.0
P0080,2023-08-15,15,0.0,5.0
P1418,2025-04-27,65,0.0,9.0
P0991,2023-12-04,88,0.0,14.0
P0612,2025-05-01,0,0.0,14.0
P1076,2025-06-18,8,0.0,3.0
P0116,2024-06-28,30,1.0,7.0
P0189,2023-10-20,73,0.0,12.0
P0292,2025-04-13,45,0.0,14.0
P0168,2024-03-30,26,0.0,11.0
P0390,2024-10-10,56,1.0,12.0
P0566,2024-09-18,32,0.0,9.0
P1111,2024-09-11,51,1.0,5.0
P0128,2023-12-12,23,0.0,11.0
P1061,2024-08-10,45,0.0,13.0
P0711,2023-07-18,25,0.0,1.0
P0485,2025-06-26,33,0.0,3.0
P1054,2025-03-12,75,1.0,8.0
P1130,2025-06-25,5,0.0,11.0
P0849,2024-04-12,45,0.0,14.0
P0289,2024-12-16,54,1.0,12.0
P0527,2023-07-18,66,0.0,11.0
P0138,2024-02-10,27,0.0,8.0
P1365,2023-09-17,65,1.0,12.0
INVALID_SKU,2024-11-02,52,0.0,11.0
P1297,2024-11-01,50,0.0,8.0
P0938,2024-03-13,63,0.0,3.0
P0608,2024-02-05,27,0.0,6.0
P0969,2024-01-17,23,0.0,
P0486,2023-08-23,56,0.0,13.0
P1032,2024-09-21,86,0.0,13.0
P0232,2024-04-11,77,1.0,5.0
P0948,2023-10-06,100,0.0,1.0
P1281,2024-05-11,60,0.0,10.0
P0087,2024-01-10,37,0.0,9.0
P1254,2023-10-14,34,0.0,2.0
P0752,2024-08-08,52,0.0,9.0
P1390,2023-09-05,49,0.0,3.0
P0992,2024-08-20,84,0.0,9.0
P0627,2024-11-10,64,1.0,4.0
P0372,2024-02-07,23,0.0,11.0
P1239,2024-11-14,39,0.0,14.0
P1389,2024-07-16,99,0.0,3.0
P0089,2023-12-26,108,0.0,12.0
P1238,2024-05-19,63,0.0,5.0
P0193,2024-02-04,23,0.0,13.0
P0622,2024-04-17,0,0.0,5.0
P0967,2024-02-24,36,0.0,14.0
P0857,2024-10-24,47,0.0,10.0
P0874,2023-10-08,60,1.0,7.0
P0065,2023-07-29,50,0.0,6.0
P0364,2024-05-03,72,0.0,6.0
P1334,2023-10-09,50,0.0,10.0
P0570,2023-07-22,83,0.0,8.0
P0977,2025-04-27,64,1.0,4.0
P0133,2025-04-05,30,0.0,9.0
P0034,2024-05-03,12,0.0,5.0
P0247,2024-05-26,41,0.0,4.0
P0020,2024-07-19,130,0.0,10.0
P0532,2023-09-09,22,0.0,9.0
P1052,2023-11-15,65,0.0,8.0
P0141,2024-11-09,79,0.0,12.0
P0940,2023-11-17,84,0.0,6.0
P0057,2024-12-21,38,1.0,9.0
P1245,2024-09-01,83,0.0,8.0
P0157,2024-09-14,71,0.0,14.0
P0482,2025-03-23,47,1.0,14.0
P0817,2024-07-31,39,0.0,2.0
P0042,2024-05-13,0,0.0,6.0
P1137,2023-10-14,78,0.0,12.0
P0627,2024-08-31,47,0.0,12.0
P1459,2023-08-04,2,0.0,11.0
P0860,2024-03-11,79,1.0,12.0
P0004,2024-03-06,9,1.0,9.0
P1472,2024-10-14,43,1.0,6.0
P1097,2025-01-21,29,0.0,14.0
P1227,2024-09-28,42,1.0,14.0
P1283,2025-03-14,18,0.0,14.0
P0503,2025-04-14,33,0.0,8.0
P1142,2023-10-07,22,0.0,7.0
P0858,2023-09-01,57,0.0,4.0
P0445,2024-04-22,46,0.0,6.0
P0269,2025-06-23,74,0.0,7.0
P0672,2025-03-15,21,1.0,13.0
P0394,2024-07-04,85,0.0,1.0
P0486,2024-10-21,103,0.0,6.0
P1438,2025-01-14,28,0.0,3.0
P0296,2025-02-05,43,1.0,8.0
P1139,2023-10-07,97,0.0,3.0
P0068,2025-02-03,50,0.0,
P0720,2025-04-18,34,0.0,10.0
P0062,2024-09-15,75,0.0,9.0
P0284,2025-01-06,9,0.0,8.0
P0439,2024-07-14,25,0.0,1.0
P1442,2024-12-19,57,0.0,13.0
P0646,2023-10-17,39,0.0,
P0008,2025-02-20,40,0.0,7.0
P1410,2024-04-04,35,0.0,13.0
P1232,2025-04-30,108,0.0,
P0554,2025-04-23,68,0.0,9.0
P0284,2025-06-08,82,0.0,13.0
P0438,2025-03-26,77,0.0,7.0
P1138,2025-06-06,26,0.0,7.0
P0273,2024-09-05,105,0.0,8.0
P1314,2023-08-29,32,1.0,9.0
P0340,2023-07-14,-103,1.0,13.0
P0930,2024-03-31,55,1.0,7.0
P0484,2025-03-31,1,0.0,14.0
P0012,2023-12-08,15,0.0,9.0
P0322,2025-01-16,77,0.0,9.0
P0627,2024-01-20,41,0.0,5.0
P0567,2025-03-30,0,0.0,5.0
P0184,2024-08-20,67,,5.0
P1190,2024-05-22,19,1.0,8.0
P0848,2024-10-17,76,1.0,
P1454,2025-03-21,20,0.0,4.0
P0266,2024-09-14,93,0.0,10.0
P0238,2025-03-29,24,1.0,2.0
P0985,2024-12-23,0,0.0,1.0
P1203,2023-08-03,62,0.0,12.0
P0882,2023-11-08,24,1.0,10.0
P0980,2024-02-05,75,0.0,5.0
P0378,2024-03-21,1,1.0,9.0
P0073,2023-09-19,24,0.0,10.0
P0748,2025-03-03,100,1.0,8.0
P0998,2025-05-14,91,1.0,8.0
P0538,2023-09-21,52,1.0,5.0
P0243,2025-04-20,10,0.0,13.0
P0720,2024-06-09,43,1.0,9.0
P0791,2025-04-08,51,0.0,4.0
P0912,2025-03-18,42,0.0,1.0
P1008,2024-07-30,78,1.0,8.0
P0306,2023-11-29,66,0.0,4.0
P0821,2023-07-10,98,0.0,11.0
P0070,2024-05-27,-39,0.0,14.0
P1386,2024-10-20,36,0.0,6.0
P1100,2025-01-16,5,0.0,7.0
P0233,2024-04-23,49,0.0,4.0
P0017,2025-06-13,86,0.0,10.0
P1200,2024-08-01,92,0.0,3.0
P0383,2025-06-27,50,0.0,7.0
P1119,2024-06-23,50,0.0,6.0
P0031,2025-01-03,36,0.0,2.0
P0989,2024-11-15,123,0.0,2.0
P0253,2024-11-20,21,0.0,12.0
P0124,2023-12-15,28,0.0,7.0
P1438,2024-01-12,-89,0.0,8.0
P0378,2024-10-14,19,0.0,14.0
P0138,2024-01-22,44,0.0,8.0
P0332,2024-12-04,56,0.0,2.0
P0472,2023-08-31,28,0.0,8.0
P0767,2023-09-17,30,0.0,3.0
P0384,2023-10-16,53,0.0,6.0
P0228,2024-08-13,80,0.0,5.0
P0797,2024-12-08,56,0.0,6.0
P0699,2024-10-23,11,0.0,10.0
P0819,2023-08-18,45,0.0,4.0
P0451,2024-09-29,56,0.0,1.0
P1431,2023-11-02,65,1.0,12.0
P1355,2024-09-20,80,1.0,
P0475,2023-11-15,66,0.0,3.0
P0650,2024-10-22,72,0.0,13.0
P0252,2024-07-27,20,0.0,3.0
P0267,2024-08-06,20,0.0,1.0
P1153,2024-06-01,79,0.0,8.0
P1380,2024-09-30,30,0.0,10.0
P1018,2024-08-16,5,0.0,3.0
P0183,2025-03-03,23,1.0,4.0
P0025,2024-11-26,21,0.0,1.0
P0617,2024-04-23,44,0.0,4.0
P0747,2024-08-01,33,1.0,6.0
P1119,2024-07-10,34,0.0,3.0
P1127,2024-04-11,31,0.0,9.0
P0970,2023-07-22,69,0.0,11.0
