order_id,order_date,user_id,sku_id,quantity,price_per_unit,discount_applied,order_channel,payment_method
O000001,2023-08-27,U4418,P1477,2,794.7,30.0,App,Wallet
O000002,2024-08-06,U3995,P0935,5,1912.46,20.0,Mobile,UPI
O000003,2024-11-29,U5880,P1126,2,621.7,0.0,Mobile,UPI
O000004,2025-07-03,U1969,P1491,6,1679.62,0.0,App,UPI
O000005,2024-04-20,U1925,P0274,2,658.59,20.0,App,Wallet
O000006,2024-07-16,U1615,P1356,1,1169.55,40.0,Mobile,Wallet
O000007,2025-03-02,U4146,P0911,1,,40.0,App,COD
O000008,2023-08-21,U1608,P0447,1,787.49,30.0,Mobile,Wallet
O000009,2023-11-05,U5490,P0903,1,1006.28,20.0,App,Wallet
O000010,2025-05-02,U1789,P1395,4,1154.54,30.0,Web,COD
O000011,2024-03-31,U2729,P1440,4,549.26,30.0,Mobile,Wallet
O000012,2025-05-10,U2889,P0104,1,999.22,40.0,Web,Card
O000013,2025-03-12,U1198,P0351,3,840.43,40.0,Mobile,UPI
O000014,2024-10-09,U2235,P1249,3,1786.74,15.0,Web,Wallet
O000015,2025-02-19,U3106,P0038,3,568.72,30.0,App,Wallet
O000016,2023-11-01,U3226,P1309,2,1108.34,15.0,Web,Wallet
O000017,2025-05-27,U3636,P0753,3,294.75,20.0,Mobile,COD
O000018,2024-06-04,U5838,P0191,2,1605.67,15.0,Mobile,UPI
O000019,2024-11-10,U2805,P0095,2,2298.1,5.0,Web,Card
O000020,2023-11-04,U4996,P1261,1,2128.11,10.0,Web,UPI
O000021,2025-05-10,U4611,P0952,1,1154.49,15.0,Mobile,Wallet
O000022,2024-12-11,U5788,P1246,2,385.58,40.0,Web,Wallet
O000023,2025-05-13,U4010,P0093,4,1139.75,25.0,Web,COD
O000024,2024-04-04,U4385,P1344,1,1672.9,10.0,App,UPI
O000025,2024-12-12,U3452,P1113,2,697.79,30.0,App,Wallet
O000026,2024-11-09,U2482,P0841,2,968.62,15.0,Web,UPI
O000027,2023-09-10,U3805,P0754,1,1326.05,40.0,Web,Card
O000028,2024-01-30,U2025,P0107,1,1546.71,30.0,Mobile,Wallet
O000029,2024-03-02,U4248,P0112,4,292.96,5.0,Web,Wallet
O000030,2024-10-18,U5969,P0423,1,,5.0,Web,Card
O000031,2024-06-25,U3637,P0409,1,994.79,30.0,App,COD
O000032,2024-01-19,U5605,P0885,1,352.03,0.0,App,UPI
O000033,2024-01-04,U3778,P0340,5,1569.24,15.0,Web,UPI
O000034,2023-10-10,U2101,P1461,1,1740.04,0.0,Mobile,Wallet
O000035,2024-03-09,U3041,P0849,3,1399.79,25.0,App,Wallet
O000036,2024-09-06,U2395,P0352,3,265.27,40.0,App,UPI
O000037,2025-05-28,U1696,P1353,3,1325.05,5.0,Mobile,Card
O000038,2024-08-14,U2336,P1492,2,1548.08,10.0,App,UPI
O000039,2024-08-08,U5666,P1096,3,922.16,,Web,Wallet
O000040,2024-04-19,U3044,P0358,1,899.84,10.0,App,UPI
O000041,2025-04-16,U1034,P0171,2,,20.0,Web,Card
O000042,2024-01-01,U3170,P1100,-7,2203.71,5.0,Mobile,Wallet
O000043,2025-03-24,U4971,P0308,1,1273.43,10.0,Web,COD
O000044,2023-12-29,U3341,P0086,5,,30.0,Mobile,Card
O000045,2025-05-18,U1633,P0148,1,959.97,5.0,App,COD
O000046,2025-02-16,U2181,P0024,3,1540.68,30.0,App,Card
O000047,2024-05-09,U4174,P0383,1,497.38,5.0,Web,UPI
O000048,2024-08-18,U2936,P0731,1,788.28,20.0,Mobile,COD
O000049,2024-03-30,U4817,P1096,2,1797.49,5.0,Web,COD
O000050,2025-01-26,U5056,P0761,1,386.16,20.0,App,Card
O000051,2024-10-21,U3620,P1326,4,1666.09,5.0,Mobile,COD
O000052,2024-01-24,U5854,P0024,2,1321.09,15.0,Web,Card
O000053,2024-12-13,U3988,P0534,1,1351.14,30.0,Mobile,Card
O000054,2023-08-24,U5510,P0875,2,573.92,10.0,Web,Card
O000055,2025-03-19,U1770,P0028,1,1418.14,40.0,Web,Card
O000056,2025-03-11,U4900,P1349,2,1228.34,20.0,App,UPI
O000057,2024-04-09,U3837,P0646,1,1520.12,10.0,App,COD
O000058,2024-12-08,U4612,P0555,2,1920.06,20.0,App,UPI
O000059,2025-06-02,U5363,P1427,-1,1480.21,40.0,App,COD
O000060,2024-06-19,U3072,P1187,-1,911.14,20.0,Mobile,UPI
O000061,2023-12-07,U4826,P0881,1,1530.65,5.0,Web,Card
O000062,2024-09-26,U4633,P0359,2,694.47,0.0,App,COD
O000063,2025-02-16,U5520,P1134,2,685.18,20.0,Mobile,Wallet
O000064,2025-04-10,U3511,P1217,3,1931.18,15.0,App,UPI
O000065,2023-09-03,U4899,P1356,1,1636.55,10.0,App,COD
O000066,2024-03-05,U5066,P1012,3,1182.35,40.0,App,Card
O000067,2024-02-25,U5676,P0924,1,603.91,5.0,Mobile,COD
O000068,2025-01-15,U2695,P1455,3,2064.31,5.0,Mobile,Card
O000069,2025-05-28,U2440,P0029,5,1969.05,20.0,Web,COD
O000070,2024-03-22,U4978,P1025,1,1539.45,0.0,Mobile,UPI
O000071,2024-11-24,U5355,P0770,1,2084.82,0.0,Web,COD
O000072,2024-04-15,U4186,P0244,6,614.01,25.0,Mobile,COD
O000073,2024-09-28,U2406,P0171,2,1583.78,30.0,Web,Wallet
O000074,2024-12-08,U3649,P0547,3,686.82,5.0,Web,COD
O000075,2025-06-22,U4741,P0827,2,1585.03,0.0,Mobile,Wallet
O000076,2025-01-30,U2942,P1205,1,1031.9,20.0,Mobile,Card
O000077,2024-07-25,U2555,P0208,2,546.7,10.0,App,UPI
O000078,2024-09-13,U3696,P0396,1,983.9,0.0,Web,UPI
O000079,2024-08-27,U1225,P0815,3,767.89,30.0,Mobile,Wallet
O000080,2024-09-15,U2988,P0901,2,476.25,20.0,Web,Wallet
O000081,2024-03-26,U5255,P0521,2,1436.97,10.0,App,COD
O000082,2025-02-28,U2209,P1472,1,1299.17,5.0,App,COD
O000083,2024-06-04,U3453,P0132,3,1369.7,15.0,Web,Wallet
O000084,2024-02-24,U3331,P1233,4,1754.57,10.0,Mobile,UPI
O000085,2024-04-13,U3117,P0230,4,1945.34,20.0,App,Card
O000086,2023-07-31,U5790,P0848,3,245.24,25.0,Web,Card
O000087,2025-04-15,U1054,P0640,3,435.08,15.0,Web,Wallet
O000088,2025-05-10,U5629,P0822,5,924.94,5.0,Mobile,COD
O000089,2024-06-24,U2099,P0077,3,621.45,30.0,Web,UPI
O000090,2023-07-15,U1609,P1240,2,1237.11,40.0,Mobile,Wallet
O000091,2024-03-04,U3397,P1265,1,1259.66,30.0,Web,COD
O000092,2024-10-17,U4908,P1099,2,,15.0,Mobile,UPI
O000093,2024-11-12,U2186,P1188,1,2098.29,15.0,Mobile,Wallet
O000094,2025-02-20,U2138,P1185,3,1610.7,30.0,Mobile,Wallet
O000095,2024-06-24,U1123,P0018,1,1034.26,5.0,App,COD
O000096,2024-10-22,U3176,P0545,3,596.36,20.0,Mobile,COD
O000097,2024-12-23,U5873,P1322,1,2306.34,0.0,Web,Card
O000098,2024-06-04,U2798,P1283,2,2105.97,5.0,App,UPI
O000099,2025-01-18,U5952,P1325,2,929.24,20.0,Mobile,Wallet
O000100,2023-09-19,U5751,P0851,1,731.18,20.0,Mobile,Wallet
O000101,2023-12-03,U1448,P0652,1,1626.72,15.0,Web,Wallet
O000102,2023-10-26,U3819,P0434,5,2268.33,0.0,Web,COD
