sku_id,user_id,rating,review_text,review_date
P0322,U5679,3.0,Decent for the price.,2024-11-22
P1059,U3760,4.0,Great value for money.,2024-10-21
P0625,U1008,4.0,Exceeded my expectations.,2023-11-19
P1142,U2632,4.0,Very satisfied with the quality.,2024-04-11
P0554,U1467,4.0,Highly recommend it!,2024-09-01
P0181,U2322,,Exceeded my expectations.,2023-08-21
P1264,U2045,4.0,Exceeded my expectations.,2023-09-20
P0937,U4042,2.0,Stopped working after a week.,2024-12-02
P0924,U2410,1.0,Not worth the money.,2024-06-16
P0636,U3985,5.0,Highly recommend it!,2024-07-26
P0003,U2355,3.0,Decent for the price.,2023-10-01
P0329,U4633,5.0,Highly recommend it!,2024-11-16
P0791,U4679,5.0,Very satisfied with the quality.,2025-01-23
P1017,U5859,4.0,Exceeded my expectations.,2024-03-20
P1381,U5929,1.0,Stopped working after a week.,2025-05-30
P1320,U4038,4.0,Very satisfied with the quality.,2023-12-23
P1364,U1305,4.0,Absolutely love this product!,2025-05-26
P1108,U2029,5.0,Very satisfied with the quality.,2023-08-31
P0466,U3482,5.0,Exceeded my expectations.,
P1189,U2833,1.0,Not worth the money.,2023-12-27
P1111,U5802,1.0,Stopped working after a week.,2024-07-10
P1093,U2494,3.0,Decent for the price.,2024-11-09
P1353,U1505,4.0,Great value for money.,2024-12-09
P0879,U4335,1.0,Poor quality and bad experience.,2023-09-25
P1201,U4079,4.0,Exceeded my expectations.,2024-12-07
P0279,U3526,1.0,Stopped working after a week.,2023-12-31
P1062,U2013,4.0,Absolutely love this product!,2024-02-01
P0796,U5775,2.0,Would not buy again.,2024-08-24
P1173,U3399,2.0,Poor quality and bad experience.,2025-04-20
P0380,U2369,3.0,Average experience.,2023-12-30
P0804,U1534,2.0,Very disappointed with this.,2025-05-29
P0226,U4992,5.0,Absolutely love this product!,2024-06-21
P0571,U2415,5.0,Exceeded my expectations.,2023-11-28
P1364,U4138,2.0,Not worth the money.,2025-02-27
P0329,U5719,4.0,Exceeded my expectations.,2025-06-07
P1308,U1635,3.0,Decent for the price.,2023-09-28
P1440,U4602,3.0,Average experience.,2025-01-07
P0279,U1770,4.0,Highly recommend it!,2024-11-01
P1198,U4309,5.0,Absolutely love this product!,2024-11-06
P0593,U1265,3.0,Average experience.,2025-06-03
P0450,U4586,1.0,Not worth the money.,2024-09-18
P0479,U3873,4.0,Very satisfied with the quality.,2023-07-15
P1133,U1605,3.0,It's okay.,2025-04-27
P1293,U2117,5.0,Highly recommend it!,2023-12-10
P1399,U2562,5.0,Absolutely love this product!,2023-07-29
P0801,U2183,2.0,Poor quality and bad experience.,2024-07-23
P0502,U1943,3.0,Works as expected.,2024-04-14
P0427,U3442,3.0,It's okay.,2024-02-19
P0434,U4363,4.0,Great value for money.,2023-12-01
P1192,U2793,4.0,Exceeded my expectations.,2025-03-03
