order_id,order_date,user_id,sku_id,category,brand,quantity,price_per_unit,discount_applied,revenue,profit,days_since_launch,viewed_same_day,pricing_error_flag
O000001,2023-08-27,U4418,P1477,Apparel,BrandC,2,794.7,30.0,1589.4,-312.5999999999999,-83.0,0,1
O000002,2024-08-06,U3995,P0935,Sports,BrandC,5,1912.46,20.0,9562.3,8229.0,72.0,0,0
O000003,2024-11-29,U5880,P1126,Electronics,BrandC,2,621.7,0.0,1243.4,210.7800000000002,803.0,0,0
O000004,2025-07-03,U1969,P1491,Electronics,BrandA,6,1679.62,0.0,10077.72,5141.459999999999,1113.0,0,0
O000005,2024-04-20,U1925,P0274,Beauty,BrandD,2,658.59,20.0,1317.18,599.8000000000001,203.0,0,0
O000006,2024-07-16,U1615,P1356,Electronics,BrandD,1,1169.55,40.0,1169.55,653.24,1098.0,0,0
O000007,2025-03-02,U4146,P0911,Books,BrandD,1,1212.28,40.0,1212.28,215.37,231.0,0,0
O000008,2023-08-21,U1608,P0447,Books,BrandD,1,787.49,30.0,787.49,-149.15999999999997,267.0,0,1
O000009,2023-11-05,U5490,P0903,Sports,BrandF,1,1006.28,20.0,1006.28,432.26,755.0,0,0
O000010,2025-05-02,U1789,P1395,Sports,BrandA,4,1154.54,30.0,4618.16,3590.24,1474.0,0,0
O000011,2024-03-31,U2729,P1440,Home & Kitchen,BrandD,4,549.26,30.0,2197.04,1137.24,218.0,0,0
O000012,2025-05-10,U2889,P0104,Sports,No Brand,1,999.22,40.0,999.22,53.26999999999998,881.0,0,0
O000013,2025-03-12,U1198,P0351,Home & Kitchen,BrandA,3,840.43,40.0,2521.29,895.9799999999999,384.0,0,0
O000014,2024-10-09,U2235,P1249,Apparel,BrandE,3,1786.74,15.0,5360.22,3134.82,1190.0,0,0
O000015,2025-02-19,U3106,P0038,Beauty,BrandE,3,568.72,30.0,1706.16,-558.72,1235.0,0,1
O000016,2023-11-01,U3226,P1309,Electronics,BrandE,2,1108.34,15.0,2216.68,1298.1599999999999,550.0,0,0
O000017,2025-05-27,U3636,P0753,Beauty,BrandA,3,294.75,20.0,884.25,-376.08000000000004,1408.0,0,1
O000018,2024-06-04,U5838,P0191,Home & Kitchen,BrandD,2,1605.67,15.0,3211.34,1947.66,452.0,0,0
O000019,2024-11-10,U2805,P0095,Electronics,No Brand,2,2298.1,5.0,4596.2,3563.58,1200.0,0,0
O000020,2023-11-04,U4996,P1261,Beauty,BrandA,1,2128.11,10.0,2128.11,1609.3500000000001,324.0,0,0
