sku_id,product_name,category,brand,MRP,base_cost,launch_date,mrp_missing,base_cost_missing,mrp_outlier,base_cost_outlier,margin,negative_margin,product_age_months,is_new,is_stale,price_cost_ratio,high_margin,low_margin
P0001,Program Go,Electronics,No Brand,1308.75,823.9,2024-07-07,0,0,0,0,484.85,False,12,False,False,1.5884816118460978,True,False
P0002,Whole Max,Apparel,BrandD,1465.23,854.11,2023-09-02,0,0,0,0,611.12,False,22,False,True,1.7155050286262894,True,False
P0003,Happy Plus,Electronics,BrandE,537.82,353.3,2021-08-14,0,0,0,0,184.52000000000004,False,47,False,True,1.5222756863855083,False,False
P0004,Sure Go,Beauty,BrandA,532.78,328.46,2022-07-16,0,0,0,0,204.32,False,36,False,True,1.6220544358521585,False,False
P0005,Though Go,Sports,BrandD,1316.92,769.06,2022-06-18,0,0,0,0,547.8600000000001,False,37,False,True,1.7123761475047463,True,False
P0006,Term Plus,Home & Kitchen,BrandB,400.84,238.49,2023-08-03,0,0,0,0,162.34999999999997,False,23,False,True,1.6807413308734118,False,False
P0007,Amount Pro,Books,BrandA,874.95,602.155,2022-01-25,0,1,0,0,272.7950000000001,False,42,False,True,1.4530311962866704,False,False
P0008,movement lite  ,Books,BrandF,264.76,602.155,2023-10-29,0,1,0,0,-337.395,True,21,False,True,0.4396874558876037,False,True
P0009,common max  ,Books,No Brand,385.47,289.1,2023-06-29,0,0,0,0,96.37,False,25,False,True,1.3333448633690765,False,True
P0010,His Pro,Electronics,BrandF,442.5,315.85,2024-09-07,0,0,0,0,126.64999999999998,False,10,False,False,1.4009814785499446,False,True
P0011,Book X,Books,BrandB,874.6,602.155,2023-05-08,1,1,0,0,272.44500000000005,False,26,False,True,1.4524499505941162,False,False
P0012,can plus  ,Books,BrandA,1182.68,677.19,2023-01-28,0,0,0,0,505.49,False,30,False,True,1.746452251214578,True,False
P0013,Thing Plus,Books,BrandE,303.56,247.94,2021-06-10,0,0,0,0,55.620000000000005,False,49,False,True,1.2243284665644913,False,True
